,function_name,result
0,HasCloseElements,1
1,main,0
2,TruncateNumber,1
3,BelowZero,1
4,MeanAbsoluteDeviation,1
5,Intersperse,0
6,ParseNestedParens,0
7,FilterBySubstring,0
8,SumProduct,0
9,RollingMax,0
10,MakePalindrome,0
11,StringXor,1
12,Longest,1
13,GreatestCommonDivisor,1
14,AllPrefixes,0
15,StringSequence,0
16,CountDistinctCharacters,0
17,ParseMusic,0
18,HowManyTimes,0
19,SortNumbers,0
20,FindClosestElements,0
21,RescaleToUnit,1
22,FilterIntegers,0
23,main,0
24,LargestDivisor,1
25,Factorize,1
26,RemoveDuplicates,0
27,FlipCase,1
28,Concatenate,1
29,FilterByPrefix,0
30,GetPositive,0
31,IsPrime,1
32,FindZero,0
33,SortThird,0
34,Unique,0
35,MaxElement,1
36,FizzBuzz,0
37,SortEven,0
38,DecodeCyclic,0
39,PrimeFib,0
40,TriplesSumToZero,1
41,CarRaceCollision,0
42,IncrList,1
43,PairsSumToZero,1
44,ChangeBase,0
45,TriangleArea,1
46,Fib4,1
47,Median,1
48,IsPalindrome,0
49,Modp,0
50,DecodeShift,0
51,RemoveVowels,0
52,.,0
53,main,0
54,SameChars,0
55,Fib,1
56,CorrectBracketing,0
57,Monotonic,0
58,Common,1
59,LargestPrimeFactor,0
60,SumToN,1
61,CorrectBracketing,0
62,Derivative,0
63,Fibfib,1
64,VowelsCount,0
65,CircularShift,0
66,main,0
67,FruitDistribution,0
68,Pluck,0
69,Search,0
70,StrangeSortList,0
71,TriangleArea,0
72,WillItFly,0
73,SmallestChange,0
74,TotalMatch,0
75,IsMultiplyPrime,0
76,IsSimplePower,0
77,Iscube,0
78,HexKey,0
79,main,0
80,IsHappy,0
81,NumericalLetterGrade,0
82,PrimeLength,0
83,StartsOneEnds,0
84,Solve,1
85,/,0
86,AntiShuffle,0
87,GetRow,0
88,SortArray,0
89,Encrypt,0
90,NextSmallest,1
91,IsBored,0
92,AnyInt,0
93,Encode,0
94,Skjkasdkd,0
95,CheckDictCase,0
96,CountUpTo,0
97,Multiply,1
98,CountUpper,1
99,ClosestInteger,1
100,MakeAPile,0
101,WordsString,0
102,ChooseNum,0
103,RoundedAvg,1
104,UniqueDigits,0
105,ByLength,0
106,F,0
107,EvenOddPalindrome,0
108,CountNums,0
109,MoveOneBall,0
110,Exchange,0
111,Histogram,0
112,ReverseDelete,0
113,OddCount,0
114,Minsubarraysum,0
115,MaxFill,0
116,SortArray,0
117,SelectWords,0
118,GetClosestVowel,0
119,MatchParens,0
120,Maximum,0
121,main,0
122,AddElements,0
123,GetOddCollatz,0
124,ValidDate,0
125,SplitWords,0
126,IsSorted,0
127,o,0
128,ProdSigns,0
129,%,0
130,Tri,0
131,Digits,0
132,IsNested,0
133,SumSquares,1
134,CheckIfLastCharIsALetter,0
135,CanArrange,0
136,functions/exercises/exercise1/exercise1.go,0
137,CompareOne,0
138,IsEqualToSumEven,0
139,SpecialFactorial,0
140,FixSpaces,0
141,FileNameCheck,0
142,SumSquares,0
143,WordsInSentence,0
144,Simplify,0
145,OrderByPoints,0
146,Specialfilter,0
147,GetMaxTriples,0
148,Bf,0
149,SortedListSum,0
150,XOrY,0
151,DoubleTheDifference,0
152,Compare,1
153,StrongestExtension,0
154,CycpatternCheck,0
155,EvenOddCount,0
156,IntToMiniRoman,0
157,e,0
158,FindMax,0
159,Eat,0
160,DoAlgebra,0
161,main,0
162,StringToMd5,0
163,GenerateIntegers,0
