350M,2B,6B,16B
1,0,1,1
0,0,0,0
0,1,1,1
0,0,1,0
0,0,1,1
0,1,0,0
0,0,0,0
1,1,1,1
0,1,0,1
0,0,1,1
0,0,0,0
1,1,1,1
0,1,1,1
0,1,1,1
0,1,0,1
0,0,0,0
0,1,1,1
0,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
0,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
0,1,0,1
0,0,0,0
0,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,1,1,1
0,0,0,0
0,0,0,0
1,1,1,1
1,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,1
0,0,0,0
1,1,1,1
1,1,1,1
0,0,1,1
1,1,1,1
0,0,1,0
0,1,1,1
1,1,1,1
0,1,0,1
1,1,1,1
0,1,1,1
0,0,1,1
1,1,1,1
0,1,0,0
1,1,1,1
0,0,1,1
0,0,1,1
1,1,1,1
0,0,0,1
1,1,1,1
0,0,1,1
0,0,0,0
0,1,1,1
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
