question_number,correctness
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,1
24,0
25,0
26,0
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,0
160,0
162,1
164,0
165,0
166,0
167,1
168,0
169,0
171,0
172,1
173,0
174,0
179,0
187,0
188,0
189,1
190,1
191,1
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,0
242,1
257,0
258,1
260,0
263,1
264,1
268,1
273,0
274,1
275,1
278,1
279,0
282,0
283,1
284,0
287,0
289,0
290,0
292,0
295,0
297,0
299,0
300,1
301,0
303,0
304,0
306,0
307,0
309,0
310,0
312,0
313,0
315,0
316,0
318,0
319,0
321,0
322,0
324,0
326,1
327,0
328,1
329,0
330,0
331,0
332,0
334,0
335,0
336,0
337,1
338,0
341,0
342,1
343,0
344,1
345,0
347,0
349,1
350,0
352,0
354,0
355,0
357,0
363,0
365,0
367,1
368,0
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,0
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,0
409,0
410,0
412,1
413,0
414,0
415,1
416,0
417,0
419,0
420,0
421,0
423,0
424,0
427,0
429,0
430,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
440,0
441,0
442,1
443,0
445,0
446,0
447,0
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,1
464,0
466,0
467,0
468,0
470,0
472,0
473,0
474,1
475,0
476,1
477,0
478,0
479,0
480,0
481,0
482,0
483,0
485,1
486,1
488,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
500,0
501,0
502,0
503,0
504,1
506,0
507,0
508,0
509,0
513,0
514,0
515,1
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,0
528,0
529,0
530,0
532,0
535,0
537,0
538,0
539,0
540,0
541,0
542,1
543,1
546,0
547,1
551,0
552,0
553,0
554,0
556,0
557,1
558,0
559,0
560,0
561,1
563,1
564,0
565,0
566,0
567,0
572,0
575,0
576,0
581,0
583,0
587,0
589,1
590,1
591,0
592,0
593,0
594,0
598,0
599,0
600,0
605,1
606,0
609,0
611,0
617,1
621,0
622,0
623,0
628,1
629,0
630,0
632,0
633,0
636,0
637,0
638,0
639,0
640,0
641,0
643,0
645,0
646,1
647,1
648,0
649,0
650,0
652,0
653,0
654,1
655,0
657,1
658,0
659,0
661,0
662,0
664,0
665,0
667,0
668,0
