question_number,350M,2B,6B,16B
2,1,1,1,1
3,0,0,0,0
4,0,0,1,0
6,0,0,0,0
7,1,0,1,1
8,1,1,0,1
9,0,0,0,0
11,1,1,1,1
12,0,1,1,1
14,0,0,0,0
16,0,0,0,0
17,1,1,1,1
18,0,0,1,1
19,1,1,1,1
20,0,0,1,0
56,0,0,0,0
57,0,0,0,1
58,0,0,1,1
59,0,0,0,0
61,0,0,1,1
62,1,1,0,1
63,0,0,0,0
64,0,1,0,1
65,0,0,0,0
66,1,1,1,1
67,0,0,0,0
68,0,0,1,0
69,0,0,0,1
70,0,0,0,1
71,1,1,1,1
72,0,0,0,0
74,0,0,0,0
75,0,0,0,0
77,1,1,1,1
79,0,1,0,0
80,0,0,0,0
82,0,1,0,1
83,0,0,0,0
84,0,0,0,0
85,0,1,1,1
86,0,0,0,0
87,0,0,0,0
88,1,1,1,1
89,0,0,1,1
90,0,1,1,0
91,0,0,0,0
92,0,0,0,0
93,1,1,1,1
94,0,0,1,1
95,0,1,1,0
96,1,1,1,1
97,0,0,0,0
98,0,1,1,1
99,0,0,0,0
100,0,0,0,0
101,0,1,1,1
102,0,0,1,1
103,0,0,0,0
104,0,0,0,0
105,1,1,1,1
106,0,0,0,0
108,0,1,1,1
109,0,1,0,0
111,0,0,0,0
113,1,1,1,1
115,1,1,1,1
116,1,0,0,1
117,0,0,0,0
118,1,1,1,1
119,0,0,1,0
120,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,1,1,0
127,1,1,1,1
128,0,0,0,1
129,0,0,0,0
130,0,1,1,1
131,0,0,1,1
132,0,1,1,1
133,1,1,1,1
135,0,0,1,1
137,0,1,1,1
138,0,0,0,0
139,0,1,1,1
140,0,0,1,1
141,1,1,1,1
142,0,1,1,1
143,0,0,0,0
145,0,0,0,0
160,0,0,0,0
161,1,1,1,1
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,1,1,1,1
170,0,1,1,1
171,0,0,1,0
172,0,0,1,1
222,0,1,0,1
223,0,0,0,0
224,1,1,1,1
226,0,1,1,1
227,0,1,1,1
228,0,0,0,0
229,0,0,0,1
230,0,1,1,1
232,1,1,1,1
233,0,1,0,0
234,1,1,1,1
235,0,0,0,0
237,0,0,0,0
238,0,0,1,1
239,0,0,0,0
240,0,0,1,1
242,1,1,1,1
244,0,0,0,0
245,0,0,0,0
246,1,0,0,0
247,0,0,0,1
248,0,1,1,1
249,0,0,0,0
250,1,1,1,1
251,0,0,0,1
252,0,1,0,0
253,1,1,1,1
255,0,0,0,0
256,0,0,1,0
257,0,0,1,1
259,0,0,0,0
260,0,0,0,0
261,0,1,1,1
262,1,1,1,1
264,0,0,0,0
265,0,1,0,1
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,1,1,1,1
270,0,0,0,0
271,0,0,0,0
272,0,0,0,0
273,1,1,0,1
274,0,0,0,0
276,0,1,1,1
277,1,1,1,1
278,0,0,0,0
279,0,0,0,0
280,0,1,1,1
281,0,1,1,1
282,0,1,1,1
283,0,1,0,1
284,1,1,1,1
285,0,0,1,1
286,0,0,0,0
287,0,0,0,0
290,0,0,0,0
291,0,0,0,0
292,0,1,1,1
293,0,0,0,1
294,0,0,0,0
295,0,1,1,1
296,1,0,0,0
297,0,1,0,1
299,0,0,0,0
300,0,0,0,0
301,0,0,0,1
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,1,1,1,1
310,0,0,0,0
311,0,0,0,0
312,0,0,1,1
388,0,0,0,0
389,0,1,1,0
390,0,1,0,1
391,0,0,0,0
392,0,0,0,0
393,0,0,0,0
394,1,1,1,1
395,0,0,0,1
396,0,0,0,0
397,0,1,0,1
398,0,0,0,0
399,0,1,1,1
400,0,0,0,1
401,0,0,0,0
404,1,1,1,1
405,0,1,1,1
406,0,0,1,1
407,0,0,0,0
408,0,0,0,0
409,0,1,1,1
410,0,0,0,0
411,0,0,0,0
412,0,0,1,1
413,0,0,1,1
414,0,1,1,0
415,0,0,0,0
417,0,0,0,0
418,0,0,0,1
419,0,0,1,0
420,0,0,0,0
421,0,0,0,0
422,1,0,1,0
424,0,0,0,0
425,0,1,1,1
426,1,1,0,1
427,0,1,0,1
428,1,1,0,0
429,0,0,0,0
430,0,0,0,0
431,0,0,0,1
432,0,0,0,0
433,0,0,0,0
434,0,0,0,0
435,1,1,1,0
436,1,1,1,1
437,0,0,0,0
438,0,0,0,0
439,0,0,1,0
440,0,0,0,0
441,0,1,1,1
442,0,0,0,0
443,0,0,0,1
444,0,0,0,0
445,0,0,0,0
446,0,0,0,0
447,0,0,0,0
448,0,0,0,0
450,0,0,0,0
451,1,0,1,1
452,0,0,0,0
453,0,0,0,0
454,0,1,1,1
455,0,1,0,0
456,1,1,1,1
457,0,0,0,0
458,1,1,1,1
459,0,0,0,0
460,0,0,1,1
461,0,0,0,0
462,0,0,0,0
463,0,0,0,0
464,0,0,0,0
465,0,1,1,1
468,0,0,0,0
470,0,1,0,0
471,1,1,1,1
472,0,0,1,1
473,0,0,0,0
474,1,1,1,1
475,0,0,0,0
476,0,0,1,0
477,1,1,1,1
478,0,0,1,0
479,0,0,0,0
554,1,1,1,1
555,0,0,0,0
556,0,0,0,0
557,0,1,1,1
558,0,0,1,0
559,0,0,0,0
560,0,0,0,1
562,0,0,0,0
563,0,0,0,0
564,0,0,0,0
565,0,0,1,1
566,1,1,1,1
567,1,1,1,1
568,0,1,1,1
569,0,1,1,1
572,0,0,0,0
573,0,0,0,0
574,0,0,0,0
576,1,0,1,1
577,0,0,0,0
578,0,0,1,0
579,0,0,0,0
580,0,0,0,0
581,0,0,0,1
582,1,1,1,1
583,0,0,0,0
584,0,0,0,0
585,1,0,0,0
586,1,0,0,0
587,1,1,1,1
588,0,1,1,1
589,0,0,0,0
590,0,0,0,0
591,1,1,1,1
592,0,0,0,0
593,0,0,0,0
594,0,0,0,1
595,0,0,0,0
596,0,0,0,0
597,0,0,0,0
598,0,1,1,0
599,0,1,1,1
600,1,1,1,1
602,0,1,1,0
603,0,0,0,0
604,0,1,1,1
605,0,0,1,0
606,0,1,0,0
607,0,1,0,0
608,0,0,0,0
610,0,0,0,0
611,0,0,1,1
612,0,0,0,0
614,0,0,0,0
615,1,1,1,0
616,1,1,1,1
617,0,0,0,0
